system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
MegaTTS3,-10.87811,2.81748,0.28408852527752465,0.3571428571428213,0.8399150409062303,0.7709251101321586,0.8050923012376757,0.736784140969163,0.6391901663051338,0.4815618221258134
Qwen2.5-Omni,-11.10027,2.65093,0.28571428571428004,0.280837004404946,0.7739406335221314,0.7711611076148521,0.7600692259282568,0.7686438011327879,0.8275488069414316,0.9598698481561824
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.23890520476427435,0.2777777777775597,0.8586841246532876,0.8188325991189427,0.7897699461576112,0.7565467449828683,0.8012958963282938,0.896328293736501
Llasa-8B,-11.13795,2.7481,0.3101647903406213,0.2621145374438587,0.790687714145864,0.7773494860499266,0.7534059389786263,0.7578316201664219,0.8545716342692584,0.7386609071274298
MiniCPM-o-2.6,-10.42072,2.73015,0.3083700440523988,0.3303964757709247,0.7859581497797357,0.7543502202643172,0.740014684287812,0.7407488986784141,0.8261494252873564,0.8275862068965517
OpenVoiceV2,-11.36205,2.6472,0.19955947136558216,0.2621145374449449,0.889990210474792,0.7904552129221734,0.8440406265296133,0.768942731277533,0.800650054171181,0.7388949079089924
minimax_speech-2.6-hd,-11.40033,2.69219,0.22222222222223528,0.2500000000001466,0.8434593734703867,0.8198421439060205,0.812163485070974,0.8190161527165932,0.8456521739130434,0.967391304347826
NeuTTS-Air,-11.09782,2.80331,0.2708333333332829,0.25,0.7905653450807636,0.7926762114537446,0.7564702643171807,0.7773953744493391,0.7828282828282829,0.7435064935064936
minimax_speech-02-turbo,-11.02915,2.74086,0.20521292217312034,0.1818181818181817,0.8808236550527299,0.932819383259912,0.8423942063809905,0.8534741690028034,0.7772941603191875,0.8879216539717084
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.20307702576422595,0.0909090909090908,0.9044853824589508,0.9535442531037244,0.8367707916166065,0.9204044853824588,0.8549147624229235,0.9314472252448314
Kani-TTS-370M,-11.07769,2.78509,0.2315445200906391,0.2202643171806545,0.8170137498331331,0.8433119743692431,0.802529702309438,0.8036143372046456,0.8168298875589409,0.8781284004352558
Microsoft VibeVoice Large,-11.20791,2.80826,0.19819469638078288,0.2352941176470588,0.8597650513950074,0.8701736201088366,0.8272652673404165,0.8268657683337652,0.7553153153153153,0.7167567567567568
Maya1 TTS,-10.7007,2.72062,0.1842230284183185,0.1764705882351814,0.8990239267513173,0.8826768592899714,0.8475209467046732,0.8633065561026172,0.8706306306306306,0.9016216216216216
Nari Dia-1.6B,-11.2362,2.78417,0.286210118808711,0.2290748898677189,0.8196836203444132,0.8932719263115739,0.7550060072086504,0.8367040448538245,0.6637649619151251,0.766050054406964
Edge-TTS,-10.92675,2.75393,0.2927475934083663,0.2059471365635573,0.8160385054658182,0.8947626040137053,0.8106746614455865,0.8584801762114538,0.8066157760814249,0.7197382769901853
