system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
suno_bark-small,-10.97017,2.74983,0.2147577092521519,0.20447870778337332,-0.010279001468778581,0.8414096916299559,0.8793790644010908,0.03796937277113488,-0.019456681350954463,0.12328271872740426,True,True
kokoro,-11.13242,2.85862,0.1321585903070981,0.12560862508761986,-0.006549965219478232,0.9556573150939022,0.9586134940876421,0.0029561789937398997,-0.010124430017775743,0.04746494066882412,True,True
Nari Dia-1.6B,-11.2362,2.78417,0.2290748898677189,0.2272393538917209,-0.0018355359759980039,0.8932719263115739,0.8643038312641836,-0.028968095047390285,-0.016252836737418064,-0.0025389916575988547,True,False
VoxCPM-1.5,-11.05028,2.80275,0.4779735682815185,0.4761904761904335,-0.0017830920910850145,0.5553807426054123,0.552915880008391,-0.002464862597021278,-0.00013110971260754667,-0.11569052783803324,True,False
minimax_speech-2.6-hd,-11.40033,2.69219,0.2500000000001466,0.25000000000000017,-1.4643841694805815e-13,0.8198421439060205,0.8606216348507099,0.040779490944689356,0.01186979931473331,-0.0036231884057971175,True,True
Qwen2.5-Omni,-11.10027,2.65093,0.280837004404946,0.28340675477208205,0.0025697503671360256,0.7711611076148521,0.8076620516047829,0.036500943989930756,0.024622404027690448,-0.09002169197396981,False,False
facebook_mms-tts-eng,-11.25166,2.6995,0.1024229074873087,0.1049926578570044,0.0025697503696957003,0.9626162506118452,0.9597201827378039,-0.002896067874041286,0.006220427475934209,-0.023398128149747954,False,False
Voxtream,-10.93791,2.77738,0.3270925110123337,0.33333333333333354,0.006240822320999817,0.7098017621145374,0.720427475934084,0.010625713819546578,0.015316527981726336,0.012239020878329732,False,False
Step-Audio-EditX,-11.19811,2.72185,0.2015418502210192,0.207849419302797,0.006307569081777792,0.841309571485783,0.8793218528901349,0.038012281404351866,0.04335202242691227,-0.03264417845484213,False,False
suno_bark,-10.55239,2.80122,0.2511013215846743,0.26190476190469725,0.01080344032002295,0.8059314033983637,0.8283511642542479,0.022419760855884263,0.024832179567862434,0.09508315256688349,False,False
Llasa-8B,-11.13795,2.7481,0.2621145374438587,0.2732909120573377,0.011176374613478979,0.7773494860499266,0.8169562734540708,0.03960678740414425,0.0018151411323217292,0.12814974802015844,False,False
OuteTTS,-10.98285,2.79802,0.3931718061669267,0.4085903083689158,0.015418502201989093,0.6662995594713657,0.6639133627019089,-0.0023861967694567277,0.007041783473501595,0.2591397849462366,False,False
Metavoice-1B,-11.26542,2.78059,0.2857142857140903,0.3017621145371523,0.016047828823061994,0.776431718061674,0.7905915670232851,0.014159848961611154,-0.0005506607929516294,-0.0010845986984814315,False,False
optispeech,-11.08127,2.75023,0.0737885462561879,0.09523809523798739,0.021449548981799488,0.9431246066708622,0.9631581707572897,0.020033564086427535,-0.005113278791692988,0.013015184381778622,False,False
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.0881057268712717,0.11111111111110138,0.023005384239829674,0.9727116984826236,0.9620655898188938,-0.010646108663729836,-0.01696851036058089,-0.015478761699064147,False,False
sesame_csm,-10.80728,2.79118,0.2830396475764219,0.3099231898785158,0.026883542302093888,0.800152490681125,0.7604484355585677,-0.03970405512255737,-0.03736021687563518,0.0010857763300760048,False,False
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.0495594713653781,0.08616530312516063,0.036605831759782534,0.9904027690371304,0.9743549402139711,-0.01604782882315936,-0.041561778896580526,0.010484454085321837,False,False
griffin_lim,-10.82422,2.8566,0.4,0.4394028389621065,0.0394028389621065,0.6585168869309839,0.6102300538423887,-0.04828683308859516,0.0006118453255016254,-0.2137955940772842,False,False
parler_tts_mini_v1,-11.02714,2.73203,0.1420704845810204,0.18330885951993656,0.04123837493891616,0.9449339207048458,0.9092021536955457,-0.03573176700930014,-0.05653450807635829,-0.11232676878191106,False,False
parler_tts_mini_v0.1,-10.93578,2.702,0.1057268722460944,0.14941262848790662,0.04368575624181223,0.9282845296708992,0.9087198756154443,-0.019564654055454933,-0.043318649045521185,-0.08504504504504506,False,False
parler_tts_large_v1,-10.88228,2.72001,0.1046255506613693,0.15061883784354538,0.045993287182176074,0.953508495909377,0.9362151248164464,-0.01729337109293061,-0.06151667715544373,0.017353579175704903,False,False
Kani-TTS-370M,-11.07769,2.78509,0.2202643171806545,0.2727272727272783,0.05246295554662381,0.8433119743692431,0.7983914030169537,-0.04492057135228944,-0.03150447203310636,0.026478055857816374,False,False
Indri-TTS-0.1,-11.05397,2.73531,0.0814977973582911,0.13451856513532678,0.05302076777703568,0.9693989930774072,0.9425477239353892,-0.026851269142017964,-0.061621564925529726,-0.07519884309472169,False,False
FishTTS,-11.17461,2.7008,0.2666666666666666,0.3204845814971521,0.05381791483048548,0.8086637298091043,0.7497552618697992,-0.05890846793930504,-0.03964757709251099,-0.07800650054171188,False,False
microsoft_speecht5_tts,-11.04778,2.79557,0.2500000000002551,0.30420949583916207,0.054209495838906996,0.7678964757709251,0.7799498286833089,0.012053352912383741,0.007892804698972244,-0.06557971014492747,False,False
Chatterbox,-11.13056,2.82544,0.285714285714382,0.3459198657432289,0.060205580028846906,0.7168030207677785,0.7292322215229704,0.012429200755191938,-0.020190895741556525,-0.03976861894432382,False,False
Higgs-Audio-V2,-11.109,2.80124,0.4347826086956909,0.5002713401014883,0.06548873140579742,0.6046734342080062,0.5389612462491221,-0.06571218795888412,-0.016304347826086807,0.07841031149301836,False,False
ZipVoice,-10.86822,2.80332,0.3469162995605787,0.4166666666667682,0.06975036710618954,0.6422540381791483,0.6513705335291239,0.009116495349975606,-0.013521781693587864,-0.08079710144927532,False,False
Nari Dia2,-11.16706,2.70401,0.2819383259912535,0.35682819383244535,0.07488986784119184,0.7294753704445334,0.6907622480309706,-0.03871312241356273,-0.02861767454278452,-0.11570547696771849,False,False
vixTTS,-11.27667,2.78681,0.2257709251091819,0.30167033773900714,0.07589941262982525,0.8531112334801761,0.7668869309838473,-0.08622430249632884,-0.07672540381791482,-0.1507936507936508,False,False
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.0909090909090908,0.16706714724360347,0.07615805633451267,0.9535442531037244,0.9278467494326526,-0.02569750367107182,-0.026615271659324424,-0.052593398621690324,False,False
MatchaTTS,-11.11983,2.76045,0.1000000000000026,0.19273127753297006,0.09273127753296746,0.9284140969162996,0.9001101321585904,-0.028303964757709243,-0.038032305433186475,-0.10784313725490202,False,False
