system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
Nari Dia-1.6B,-11.2362,2.78417,0.2272393538917209,0.2290748898677189,0.8643038312641836,0.8932719263115739,0.8204512081164065,0.8367040448538245,0.7635110627493652,0.766050054406964
NeuTTS-Air,-11.09782,2.80331,0.22916666666661667,0.25,0.8364996328928047,0.7926762114537446,0.8190161527165932,0.7773953744493391,0.8856421356421356,0.7435064935064936
minimax_speech-2.6-hd,-11.40033,2.69219,0.25000000000000017,0.2500000000001466,0.8606216348507099,0.8198421439060205,0.8308859520313265,0.8190161527165932,0.9637681159420289,0.967391304347826
MiniCPM-o-2.6,-10.42072,2.73015,0.2544052863436786,0.3303964757709247,0.8194199706314245,0.7543502202643172,0.7641703377386196,0.7407488986784141,0.7298850574712644,0.8275862068965517
Microsoft VibeVoice Large,-11.20791,2.80826,0.21227433704681173,0.2352941176470588,0.8920488900405977,0.8701736201088366,0.8423490541591087,0.8268657683337652,0.8227027027027027,0.7167567567567568
RVC,-11.10697,2.72935,0.22063142437590721,0.2857142857142856,0.8174166142227817,0.7556639395846445,0.802863436123348,0.7376494650723726,0.7733188720173535,0.7603036876355749
"Resemble.ai (April 12th, 2025)",-10.97008,2.89231,0.21312612171616582,0.2777777777775597,0.8885421765377712,0.8188325991189427,0.8176496981563061,0.7565467449828683,0.8203743700503959,0.896328293736501
MatchaTTS,-11.11983,2.76045,0.19273127753297006,0.1000000000000026,0.9001101321585904,0.9284140969162996,0.8646108663729809,0.9026431718061674,0.7973856209150326,0.9052287581699346
Step-Audio-EditX,-11.19811,2.72185,0.207849419302797,0.2015418502210192,0.8793218528901349,0.841309571485783,0.8516720064076893,0.808319983980777,0.7660500544069642,0.7986942328618063
MeloTTS,-11.02763,2.75371,0.20521292217337214,0.2307692307692276,0.888851236868858,0.912741443578448,0.8354936179826048,0.8639867841409692,0.8002171552660152,0.7318132464712269
Maya1 TTS,-10.7007,2.72062,0.15686274509803916,0.1764705882351814,0.9273991534939966,0.8826768592899714,0.897155998963462,0.8633065561026172,0.9491891891891893,0.9016216216216216
OpenVoiceV2,-11.36205,2.6472,0.1710719530096715,0.2621145374449449,0.9110866372980911,0.7904552129221734,0.8673641703377385,0.768942731277533,0.803539183820874,0.7388949079089924
parler_tts_mini_v1,-11.02714,2.73203,0.18330885951993656,0.1420704845810204,0.9092021536955457,0.9449339207048458,0.8724302496328927,0.928964757709251,0.7465353756382203,0.8588621444201313
parler_tts_mini_v0.1,-10.93578,2.702,0.14941262848790662,0.1057268722460944,0.9087198756154443,0.9282845296708992,0.8758313898246524,0.9191500388701735,0.8695495495495495,0.9545945945945946
parler_tts_large_v1,-10.88228,2.72001,0.15061883784354538,0.1046255506613693,0.9362151248164464,0.953508495909377,0.8834172435494021,0.9449339207048458,0.9088937093275488,0.8915401301518439
