system,group,observed_eer,pred_eer_lr,pred_eer_lasso,pred_eer_rf,pred_eer_ensemble,residual,phoneme_var_mean,phoneme_var_median,frame_mean_dist_mean,frame_var_dist_mean,per_utt_cosine_mean,cosine_centroid,mean_entropy_mean,var_entropy_mean,mean_gini_mean
Maya1 TTS,mid,0.15935,0.22419,0.23088,0.13972,0.19826,-0.03891,0.44692,0.45609,16.15771,63.55980,0.09321,0.02850,1.67975,0.19118,0.44280
minimax_speech-02-turbo,mid,0.18590,0.22213,0.23021,0.21313,0.22182,-0.03592,0.43294,0.43589,17.49618,56.31213,0.09122,0.03083,1.72762,0.17771,0.44373
WhisperSpeech,mid,0.32539,0.31656,0.30711,0.45772,0.36047,-0.03507,0.39641,0.39406,15.24417,38.95458,0.09021,0.01931,1.74601,0.18371,0.42869
FishTTS,mid,0.34336,0.33414,0.32260,0.45472,0.37048,-0.02712,0.38037,0.38008,15.20743,41.35890,0.09336,0.02425,1.71483,0.19446,0.43277
MeloTTS,mid,0.27118,0.26563,0.26871,0.35903,0.29779,-0.02661,0.39181,0.39944,17.46938,44.30444,0.12474,0.06444,1.71713,0.19311,0.45330
OpenVoiceV2,mid,0.24807,0.25884,0.26024,0.29894,0.27267,-0.02460,0.41486,0.41121,17.20873,54.43556,0.07203,0.01754,1.75980,0.17367,0.43465
"Resemble.ai (April 12th, 2025)",mid,0.24306,0.27952,0.27484,0.24640,0.26692,-0.02386,0.43120,0.43111,14.89569,83.28299,0.10737,0.05106,1.73167,0.17754,0.43018
parler_tts_mini_v1,mid,0.16552,0.16267,0.18510,0.21680,0.18819,-0.02267,0.43793,0.46152,18.65741,38.73324,0.07892,0.02079,1.83620,0.15516,0.40656
Nari Dia2,mid,0.32099,0.35898,0.34376,0.28022,0.32766,-0.00667,0.36011,0.35027,16.18501,41.68071,0.12111,0.03955,1.76828,0.17199,0.42831
microsoft_speecht5_tts,mid,0.31287,0.35141,0.33818,0.24227,0.31062,0.00225,0.34383,0.37519,14.66312,33.81889,0.10996,0.03751,1.68340,0.18876,0.45812
Qwen2.5-Omni,mid,0.23006,0.22233,0.22960,0.19810,0.21668,0.01338,0.43665,0.43860,17.25303,49.93753,0.07760,0.03680,1.68924,0.19977,0.45948
Nari Dia-1.6B,mid,0.24469,0.21673,0.22819,0.24777,0.23089,0.01380,0.42074,0.43692,17.44015,48.67689,0.10924,0.03884,1.67123,0.16449,0.41363
Mars5,mid,0.35562,0.30417,0.29817,0.40912,0.33716,0.01847,0.39150,0.39547,15.69052,52.26396,0.10405,0.01799,1.77688,0.17716,0.39902
MiniCPM-o-2.6,mid,0.31718,0.29325,0.28589,0.30348,0.29421,0.02297,0.42124,0.42163,14.56939,61.71850,0.10864,0.03835,1.71860,0.18640,0.43388
RVC,mid,0.30377,0.26922,0.26944,0.29928,0.27932,0.02445,0.40929,0.41831,16.00415,58.97750,0.11004,0.03353,1.79609,0.17157,0.40120
Microsoft VibeVoice Large,mid,0.22345,0.22504,0.22969,0.13558,0.19677,0.02669,0.45175,0.44828,16.55166,54.20615,0.09259,0.03437,1.71990,0.19246,0.44699
NeuTTS-Air,mid,0.32761,0.29045,0.28516,0.31311,0.29624,0.03137,0.41132,0.40900,15.60317,46.86063,0.08472,0.02872,1.70051,0.19092,0.45254
Kani-TTS-370M,mid,0.33125,0.26727,0.26904,0.34776,0.29469,0.03656,0.40014,0.40890,16.69010,31.48987,0.09436,0.02373,1.71503,0.18075,0.44929
Voxtream,mid,0.31570,0.34179,0.33060,0.15730,0.27656,0.03913,0.36690,0.37038,15.47980,48.81587,0.09627,0.02805,1.72545,0.18980,0.44084
Chatterbox,mid,0.35848,0.29321,0.28922,0.37060,0.31767,0.04081,0.39542,0.38846,16.74301,43.28291,0.08783,0.03250,1.70875,0.18163,0.45908
Marvis-TTS,mid,0.17806,0.11824,0.14287,0.13887,0.13333,0.04473,0.48995,0.48637,19.25816,44.15464,0.12413,0.10959,1.74194,0.18269,0.44826
griffin_lim,hard,0.37524,0.34581,0.33370,0.26514,0.31488,0.06035,0.35594,0.34932,16.51631,30.71786,0.11019,0.06182,1.80294,0.15596,0.41831
Llasa-8B,mid,0.30930,0.27670,0.27137,0.19261,0.24689,0.06241,0.43527,0.43079,14.84733,51.68219,0.09201,0.01048,1.67357,0.18506,0.44519
Openaudio-S1-Mini,mid,0.36493,0.28088,0.27958,0.34558,0.30201,0.06292,0.39330,0.39551,16.86842,41.52646,0.10500,0.03299,1.73053,0.17593,0.45500
f5-tts,mid,0.35158,0.24383,0.24968,0.31969,0.27107,0.08052,0.39510,0.39952,18.24052,31.87533,0.10536,0.04587,1.70134,0.18838,0.47135
SoulX-Podcast,mid,0.33200,0.24267,0.24666,0.20820,0.23251,0.09949,0.42291,0.42593,16.92054,43.49663,0.08716,0.02157,1.71412,0.18951,0.45683
e2-tts,mid,0.36691,0.30274,0.29826,0.19535,0.26545,0.10146,0.37310,0.37157,17.19339,32.12937,0.11779,0.05448,1.76135,0.17561,0.43889
VoxCPM-0.5B,mid,0.39623,0.27339,0.27265,0.32092,0.28899,0.10724,0.40284,0.40448,16.68187,52.93119,0.10717,0.02654,1.72200,0.17904,0.44643
Higgs-Audio-V2,hard,0.43930,0.30349,0.29595,0.38051,0.32665,0.11265,0.40444,0.40080,15.25706,50.07927,0.09313,0.01542,1.71570,0.17853,0.44989
Metavoice-1B,mid,0.30253,0.14238,0.19128,0.20522,0.17963,0.12290,0.42121,0.45767,18.03492,57.26668,0.10344,0.04867,1.81591,0.16151,0.40294
Index-TTS-2.0,mid,0.39484,0.24361,0.24776,0.25338,0.24825,0.14659,0.41653,0.41929,17.22016,49.93134,0.09059,0.03702,1.71740,0.18829,0.45746
ZipVoice,hard,0.43833,0.30731,0.29449,0.26871,0.29017,0.14816,0.41924,0.41452,13.46409,57.97333,0.09676,0.05129,1.63201,0.19355,0.44710
OuteTTS,hard,0.41641,0.26640,0.26495,0.25779,0.26305,0.15337,0.41989,0.42235,15.80200,47.98466,0.09022,0.01464,1.77126,0.16978,0.42677
Microsoft VibeVoice 1.5B,mid,0.36001,0.21623,0.22363,0.14116,0.19367,0.16633,0.43999,0.44360,17.01640,51.12489,0.09141,0.03690,1.73561,0.18640,0.44501
Spark-TTS-0.5B,hard,0.51552,0.32087,0.31138,0.36506,0.33244,0.18309,0.37786,0.38074,15.49883,46.00673,0.10319,0.04000,1.67025,0.18856,0.47361
FireRedTTS-2.0,hard,0.52764,0.31035,0.30153,0.38661,0.33283,0.19481,0.39292,0.39356,15.22304,62.67057,0.09954,0.03345,1.72696,0.17269,0.43813
VoxCPM-1.5,hard,0.50537,0.28458,0.28145,0.32701,0.29768,0.20769,0.39902,0.40200,16.15841,50.20514,0.09381,0.01617,1.71909,0.18470,0.44871
Index-TTS-1.5,hard,0.55377,0.31913,0.30920,0.40433,0.34422,0.20955,0.38385,0.38350,15.36390,43.31791,0.10197,0.04696,1.68147,0.18524,0.46291
