system,C,T,baseline_eer,model_eer,d_eer,baseline_auc,model_auc,d_auc,d_bal_acc,d_acc,eer_improved,auc_corroborated
Higgs-Audio-V2,-11.109,2.80124,0.4347826086956909,0.4579742067292421,0.023191598033551197,0.6046734342080062,0.5643076039072974,-0.04036583030070884,-0.005011811274979183,0.11421410669530974,False,False
Indri-TTS-0.1,-11.05397,2.73531,0.0814977973582911,0.10499265785629219,0.02349486049800109,0.9693989930774072,0.9574680092301238,-0.011930983847283416,-0.035583176001678374,-0.04699927693420114,False,False
Step-Audio-EditX,-11.19811,2.72185,0.2015418502210192,0.22870778267217198,0.027165932451152786,0.841309571485783,0.8711787478307302,0.029869176344947235,0.049876518488853216,-0.049328980776205955,False,False
VoxCPM-1.5,-11.05028,2.80275,0.4779735682815185,0.5051395007336484,0.02716593245212995,0.5553807426054123,0.5299192364170338,-0.025461506188378502,-0.013661632053702633,-0.09616775126536514,False,False
suno_bark-small,-10.97017,2.74983,0.2147577092521519,0.24486049926612333,0.030102790013971426,0.8414096916299559,0.8502464862597021,0.00883679462974618,-0.05105412208936433,0.037960954446854545,False,False
parler_tts_large_v1,-10.88228,2.72001,0.1046255506613693,0.13535766729636267,0.030732116634993367,0.953508495909377,0.92039018250472,-0.033118313404656985,-0.06230333543108868,-0.030368763557483636,False,False
RVC,-11.10697,2.72935,0.2857142857142856,0.31655129012000044,0.030837004405714852,0.7556639395846445,0.7684078036500944,0.012743864065449917,-0.0014946507237257878,-0.026030368763557576,False,False
parler_tts_mini_v0.1,-10.93578,2.702,0.1057268722460944,0.13731968558357158,0.03159281333747718,0.9282845296708992,0.9060205580029369,-0.022263971667962346,-0.0258486654573723,-0.012972972972972951,False,False
Nari Dia2,-11.16706,2.70401,0.2819383259912535,0.3152783340011226,0.03334000800986908,0.7294753704445334,0.749799759711654,0.020324389267120657,-0.005773594980643448,-0.04098657961552399,False,False
vixTTS,-11.27667,2.78681,0.2257709251091819,0.27266886931008383,0.04689794420090193,0.8531112334801761,0.8024733847283407,-0.05063784875183541,-0.04593428781204112,-0.11038961038961048,False,False
Metavoice-1B,-11.26542,2.78059,0.2857142857140903,0.33543108873520633,0.04971680302111603,0.776431718061674,0.7015156282777428,-0.07491608978393116,-0.05370253828403615,-0.03651482284887919,False,False
FishTTS,-11.17461,2.7008,0.2666666666666666,0.3195056289770231,0.05283896231035651,0.8086637298091043,0.7808125305922663,-0.027851199216837985,-0.03619676945668149,-0.26471650415312387,False,False
griffin_lim,-10.82422,2.8566,0.4,0.45354870288817356,0.05354870288817354,0.6585168869309839,0.5840186000978953,-0.07449828683308857,-0.020374449339207068,-0.3625857710364754,False,False
MatchaTTS,-11.11983,2.76045,0.1000000000000026,0.1551395007343583,0.05513950073435571,0.9284140969162996,0.8971365638766521,-0.03127753303964753,-0.024449339207048504,-0.08097312999273787,False,False
optispeech,-11.08127,2.75023,0.0737885462561879,0.13672120830691778,0.06293266205072988,0.9431246066708622,0.9402139710509755,-0.0029106356198866923,-0.03154499685336698,-0.03904555314533631,False,False
ZipVoice,-10.86822,2.80332,0.3469162995605787,0.42633382280963644,0.07941752324905776,0.6422540381791483,0.6227055800293685,-0.01954845814977979,0.006852667645619204,-0.12173913043478257,False,False
