system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
f5-tts,-10.75229,2.70689,0.392156862745094,0.3898678414094841,0.6627580547637557,0.6410987302409951,0.6744407013906885,0.6362723503498315,0.7574774774774774,0.9091891891891892
e2-tts,-10.92617,2.76124,0.30469897210038427,0.3711453744483705,0.7406387665198237,0.7031938325991189,0.728753671071953,0.6925936123348018,0.6479076479076479,0.5768398268398268
Index-TTS-2.0,-11.02141,2.74238,0.3393798047856662,0.428414096917327,0.7054288675822752,0.6142135268204197,0.6934762891940918,0.6455688002073076,0.6248648648648648,0.5308108108108108
SoulX-Podcast,-10.93597,2.76337,0.3333333333333508,0.3333333333333337,0.7169909446891826,0.6994309838472834,0.7087616250611845,0.7523861967694567,0.7768115942028985,0.8358695652173913
FishTTS,-11.17461,2.7008,0.3195056289770231,0.2666666666666666,0.7808125305922663,0.8086637298091043,0.7321585903083699,0.7683553597650514,0.6020223907547851,0.866738894907909
vixTTS,-11.27667,2.78681,0.27266886931008383,0.2257709251091819,0.8024733847283407,0.8531112334801761,0.7775789280469897,0.8235132158590308,0.6634199134199134,0.7738095238095238
VoxCPM-0.5B,-10.66426,2.74095,0.3527261699549995,0.4140969162984599,0.6694279512226267,0.6096533231181767,0.6800900210687608,0.6245929898486879,0.7755102040816326,0.7636949516648764
Microsoft VibeVoice 1.5B,-11.06696,2.72165,0.3076923076923202,0.3846153846153616,0.7524003162769682,0.646645205015249,0.7404834519371964,0.6546933242968485,0.8371335504885993,0.7676438653637351
sesame_csm,-10.80728,2.79118,0.30498136225000994,0.2830396475764219,0.7721676267931774,0.800152490681125,0.743674460634813,0.7699932226363944,0.743756786102063,0.6959826275787188
RVC,-11.10697,2.72935,0.31655129012000044,0.2857142857142856,0.7684078036500944,0.7556639395846445,0.7361548143486468,0.7376494650723726,0.7342733188720173,0.7603036876355749
suno_bark,-10.55239,2.80122,0.2710824417877335,0.2511013215846743,0.7969897209985316,0.8059314033983637,0.7720526536605833,0.7673064820641913,0.8973246565437455,0.7494577006507592
