seed,intervention,alpha,energy,measured_C,EER,AUC,Acc
s3,shift_control,2.5,1.5,14.852153778076172,0.09375000000002795,0.96626875,0.906875
s3,C_scale,3.0,2.0,44.6189079284668,0.12250000000000012,0.9479718750000001,0.8775
s3,shift_control,3.0,2.0,14.892661094665527,0.10750000000000111,0.9584187500000001,0.89375
s3,C_scale,3.5,2.5,52.202293395996094,0.13625000000155177,0.9392203125,0.865625
s3,shift_control,3.5,2.5,14.92078685760498,0.11750000000003016,0.9479062500000001,0.89
s3,C_scale,4.0,3.0,59.324031829833984,0.14374999999999274,0.93473125,0.85875
s3,shift_control,4.0,3.0,14.916476249694824,0.1412500000003155,0.9352203125,0.860625
s7,C_scale,0.5,0.5,7.445898532867432,0.26749999999999996,0.7885234375000001,0.73875
s7,shift_control,0.5,0.5,14.89120864868164,0.09874999999983333,0.9656390625,0.90375
s7,C_scale,0.625,0.375,9.314420700073242,0.1512499999988729,0.9354421875,0.853125
s7,shift_control,0.625,0.375,14.907922744750977,0.08500000000019838,0.9725890625,0.915
s7,C_scale,0.75,0.25,11.173572540283203,0.0962500000003482,0.9677453125,0.90625
s7,shift_control,0.75,0.25,14.852828025817871,0.0762500000009736,0.977284375,0.9275
s7,C_scale,0.875,0.125,13.051344871520996,0.07000000000000005,0.9787046875000001,0.93125
s7,shift_control,0.875,0.125,14.923910140991211,0.07249999999999954,0.9810828125,0.93
s7,C_scale,1.0,0.0,14.906167984008789,0.07125000000064356,0.9800875,0.93125
s7,shift_control,1.0,0.0,14.942752838134766,0.06875000000009514,0.9829015624999999,0.934375
s7,C_scale,1.125,0.125,16.74712371826172,0.06875000000003777,0.9830234374999999,0.9325
s7,shift_control,1.125,0.125,14.895088195800781,0.06999999999991985,0.9818140625,0.93375
s7,C_scale,1.25,0.25,18.627086639404297,0.06999999999998481,0.98276875,0.935625
s7,shift_control,1.25,0.25,14.891087532043457,0.0787500000000002,0.9783625,0.92375
s7,C_scale,1.375,0.375,20.536415100097656,0.06750000000000006,0.9834390625000001,0.93375
s7,shift_control,1.375,0.375,14.922422409057617,0.08000000000000125,0.9735703125,0.921875
s7,C_scale,1.5,0.5,22.379627227783203,0.06874999999999944,0.9835609375,0.933125
s7,shift_control,1.5,0.5,14.918054580688477,0.0999999999999998,0.9663843750000001,0.90375
s7,C_scale,1.75,0.75,26.083038330078125,0.07749999999978148,0.9802312500000001,0.929375
s7,shift_control,1.75,0.75,14.915410995483398,0.1287499999999498,0.94674375,0.88
s7,C_scale,2.0,1.0,29.790178298950195,0.08875000000000115,0.9747203125,0.9125
s7,shift_control,2.0,1.0,14.905145645141602,0.1300000000000001,0.9329203125000001,0.874375
s7,C_scale,2.25,1.25,33.537559509277344,0.0900000000000008,0.96989375,0.910625
s7,shift_control,2.25,1.25,14.925772666931152,0.14499999999999785,0.9274046875000002,0.86875
s7,C_scale,2.5,1.5,37.35602569580078,0.10375000000000359,0.9628328125,0.898125
s7,shift_control,2.5,1.5,14.884119987487793,0.138750000000011,0.9246874999999999,0.87
s7,C_scale,3.0,2.0,44.65569305419922,0.13750000000042553,0.9418328125,0.864375
s7,shift_control,3.0,2.0,14.91775131225586,0.15499999999898398,0.912240625,0.86
s7,C_scale,3.5,2.5,52.18070983886719,0.16124999999999715,0.9232109374999999,0.84625
s7,shift_control,3.5,2.5,14.878301620483398,0.15375000000004982,0.9056265624999998,0.860625
s7,C_scale,4.0,3.0,59.78386306762695,0.184999999999999,0.90839375,0.823125
s7,shift_control,4.0,3.0,14.96647834777832,0.1600000000000049,0.9021578125,0.853125
