system,intercept,beta_logit,beta_C,beta_T
ZipVoice,0.06101360565514917,1.2661660585215158,0.32309752611746373,-0.3889157673286288
e2-tts,0.05378934084202974,1.2666956045106417,0.3372287011886093,-0.42585287130542016
f5-tts,0.0541959977136876,1.2797781502958543,0.308538648918658,-0.41178016472597506
facebook_mms-tts-eng,0.06626566206752199,1.243832143320868,0.32840566672773297,-0.40175551476574844
griffin_lim,0.05515944579396955,1.2690174862818577,0.3472469938643229,-0.4241844545126394
kokoro,0.06614286171574214,1.24410076267213,0.3143535302216738,-0.38757040726326963
microsoft_speecht5_tts,0.06307958573416887,1.2568632633940222,0.32784491691298034,-0.3924206548946871
minimax_speech-02-turbo,0.06954870232814167,1.249826626320547,0.3294637617923089,-0.3979203225785141
minimax_speech-2.6-hd,0.06712557605610549,1.2595361738213584,0.34077991965809545,-0.4049744244541367
optispeech,0.06895253298228339,1.2466312170405798,0.32623604621223184,-0.3920782654673275
orpheus-tts-0.1-finetune,0.07064738192160208,1.2499856757390067,0.3370495605080892,-0.4024886454039734
parler_tts_large_v1,0.06576072948375537,1.2454602532953198,0.3382876781622923,-0.4134226354026683
parler_tts_mini_v0.1,0.06558310905647949,1.2458466687607086,0.3411917910733249,-0.40231460607966146
parler_tts_mini_v1,0.07148018458802574,1.2521730372213837,0.3429951591631054,-0.41246119056268665
sesame_csm,0.06142434728592143,1.2533115281177896,0.3461221169693642,-0.40788526575142536
suno_bark,0.06363803914364942,1.2539282075666631,0.33787402305394065,-0.3868894899691706
suno_bark-small,0.06333157245789246,1.2494422298379149,0.3440543578011136,-0.3917178097724567
vixTTS,0.05807128273658545,1.2478714823339134,0.358875916873449,-0.419229930837271
