sample_id,label,system_id,cos_pre_encoder,cos_encoder_feat,cos_gat_pre,cos_gat_l0,cos_gat_l1,cos_gat_l2,cos_bilstm
165,1,A05,1.000000,0.975895,0.959215,0.037789,-0.029089,-0.042328,-0.026057
166,1,A03,1.000000,0.978070,0.962099,0.010725,0.000651,0.006355,-0.025908
167,1,A02,1.000000,0.982595,0.967974,0.058691,0.007897,-0.025554,-0.033178
168,1,A03,1.000000,0.951950,0.892078,-0.019923,-0.000977,0.046491,-0.012529
169,1,A01,1.000000,0.967673,0.952461,0.025287,0.027003,0.026206,-0.028364
170,1,A06,1.000000,0.969922,0.934026,-0.016539,0.069890,-0.019294,-0.040846
171,1,A06,1.000000,0.950207,0.927096,0.079034,-0.023254,0.005045,-0.049832
172,1,A02,1.000000,0.980315,0.957041,0.018920,-0.012025,0.045221,-0.028737
173,1,A05,1.000000,0.971911,0.940340,0.017186,0.030367,-0.006325,-0.045453
174,1,A04,1.000000,0.979945,0.965663,-0.031875,0.025392,-0.007399,-0.045323
175,1,A04,1.000000,0.960209,0.925020,0.009547,-0.019067,0.056365,-0.019929
176,1,A04,1.000000,0.952230,0.917183,-0.026107,0.022239,0.032345,-0.029740
177,1,A01,1.000000,0.979232,0.967282,-0.006272,-0.008655,0.055790,-0.021320
178,1,A03,1.000000,0.985578,0.970605,0.004049,0.001166,0.021796,-0.025510
179,1,A04,1.000000,0.969972,0.957159,0.029504,0.000210,0.026379,-0.030328
180,0,-,1.000000,0.986117,0.953999,0.043021,-0.042559,0.004419,-0.042243
181,1,A02,1.000000,0.962331,0.925205,0.064555,-0.020596,0.009597,-0.021322
182,0,-,1.000000,0.974457,0.938740,-0.032258,-0.004092,0.000690,-0.051939
183,1,A02,1.000000,0.980002,0.951350,0.044307,0.015993,0.027860,-0.036486
184,1,A03,1.000000,0.990138,0.973003,0.046676,-0.016062,0.028839,-0.027970
185,1,A03,1.000000,0.981664,0.963009,0.032168,-0.006937,0.033703,-0.034345
186,1,A01,1.000000,0.984715,0.975194,0.034564,-0.002825,0.049962,-0.033142
187,1,A03,1.000000,0.993355,0.989984,0.028045,0.011656,0.053405,-0.010305
188,1,A06,1.000000,0.984305,0.969712,-0.040485,0.025870,-0.041836,-0.049019
189,1,A03,1.000000,0.981017,0.960922,0.028476,0.015087,0.057831,-0.024808
190,1,A04,1.000000,0.976581,0.960097,0.029129,-0.013564,-0.027996,-0.028702
191,1,A04,1.000000,0.975813,0.963042,-0.031083,0.010062,0.056854,-0.005979
192,1,A03,1.000000,0.988801,0.978139,0.008332,-0.010702,0.078247,-0.022611
193,1,A01,1.000000,0.977269,0.955372,0.050099,0.036730,0.032521,-0.024311
194,1,A05,1.000000,0.986732,0.971436,-0.010116,-0.003010,0.016027,-0.035106
195,1,A01,1.000000,0.992834,0.987907,-0.013971,-0.007678,0.019897,-0.034718
196,1,A01,1.000000,0.982727,0.969304,0.051683,-0.004435,0.061198,-0.019461
197,1,A04,1.000000,0.982759,0.977304,-0.003921,-0.000438,0.009538,-0.024732
198,1,A06,1.000000,0.969916,0.954865,0.023743,-0.007390,-0.010441,-0.061881
199,1,A01,1.000000,0.973534,0.946310,0.016799,-0.014283,0.058468,-0.031643
200,0,-,1.000000,0.987614,0.973920,-0.016910,0.074854,-0.031949,0.000325
201,1,A03,1.000000,0.972317,0.937361,-0.010819,-0.009905,0.057036,0.014523
202,1,A04,1.000000,0.977125,0.963809,-0.008384,0.017056,-0.010588,-0.026425
203,0,-,1.000000,0.975590,0.911118,-0.013327,-0.009098,-0.047990,-0.008047
