winner,rho_discovery,rho_confirm,p_confirm
sd_along,0.6649610678531702,0.4633064516129032,0.008668278566133069
sd_along,0.5003337041156841,0.6548387096774194,6.41301074585284e-05
sd_along,0.6747497219132369,0.535483870967742,0.0019072120696535773
sd_along,0.6422691879866518,0.5213709677419355,0.0026323055486747473
rog_L0,0.6044493882091213,0.2633064516129032,0.1523783979551179
top1_frac_L9,0.49276974416017794,0.2834677419354839,0.12226978475463005
sd_along,0.6084538375973303,0.5576612903225807,0.00111661034313501
sd_along,0.7134593993325918,0.36814516129032265,0.0415791937487799
top1_frac_L9,0.5537263626251391,0.2733870967741936,0.13671921695690384
sd_along,0.4122358175750834,0.35564516129032264,0.04958732291684796
sd_along,0.6355951056729701,0.4225806451612903,0.01787030276521233
sd_along,0.7223581757508343,0.48266129032258065,0.0059584513176847535
sd_along,0.44694104560622916,0.6826612903225806,2.3279373497527786e-05
vel_entropy_L9,0.5492769744160179,0.046774193548387105,0.8026939061851267
sd_along,0.5105672969966629,0.6689516129032258,3.886335956856708e-05
sd_along,0.5443826473859844,0.6133064516129033,0.00024387687941376668
sd_along,0.6409343715239153,0.5036290322580645,0.0038727808838366026
sd_along,0.4834260289210234,0.6830645161290324,2.292173819868463e-05
rog_L0,0.489210233592881,0.35403225806451616,0.05070421857999218
sd_along,0.5230255839822024,0.6580645161290324,5.732328559098074e-05
sd_along,0.6453837597330366,0.605241935483871,0.00030940806759170074
sd_along,0.5968854282536151,0.49395161290322587,0.00474046787548493
sd_along,0.6493882091212457,0.5524193548387096,0.0012714653630320318
sd_along,0.6587319243604004,0.49758064516129036,0.004397352827599969
sd_along,0.6004449388209121,0.5520161290322582,0.0012841188124116294
rog_L0,0.6832035595105673,0.2451612903225807,0.18374934751551816
sd_along,0.6280311457174638,0.5294354838709678,0.002193344432048514
twonn_id_L9,0.607119021134594,0.1455645161290323,0.4346033734489133
sd_along,0.6240266963292548,0.5383064516129034,0.0017851838622681602
sd_along,0.5959955506117909,0.6302419354838711,0.0001447786189085976
sd_along,0.657842046718576,0.4629032258064517,0.008734297945144227
sd_along,0.47274749721913245,0.697983870967742,1.2702752587115407e-05
sd_along,0.6645161290322581,0.595967741935484,0.00040366351837276275
sd_along,0.5274749721913237,0.6330645161290324,0.00013233097475890958
sd_along,0.6,0.6197580645161291,0.00020064914559172697
sd_along,0.6520578420467186,0.5709677419354839,0.0007952265463181841
rog_L0,0.5790878754171301,0.2592741935483871,0.15899067128859198
sd_along,0.4398220244716351,0.653225806451613,6.779758818070172e-05
sd_along,0.42380422691879865,0.6366935483870968,0.00011773240711924201
sd_along,0.5381535038932147,0.6419354838709678,9.917851935625792e-05
