system,label,rms,s_along,s_orth,logit,vel_entropy_L12,vel_entropy_L9,mu_norm_L12,rog_L12,vel_mean_L12,vel_mean_L0,rog_L0,sd_along,hard_main,hard_s42,hard_s1024,hard_shared
Microsoft VibeVoice 1.5B|en,1.0,0.052632246,9.017295837402344,24.454782485961914,4.707667350769043,2.8143586758998405,2.781904836784566,4.098250389099121,10.95327854156494,7.0689311027526855,4.939247608184815,5.40291166305542,1.9352405421878347,0.23703829210437133,0.24178244662826154,0.3106574042697391,0.26315938100079067
Microsoft VibeVoice Large|en,1.0,0.054561656,7.769486427307129,25.336633682250977,5.695348739624023,2.7939304366375266,2.7723250973171045,4.222236156463623,10.759161949157717,6.8746538162231445,4.7555832862854,5.351319313049316,2.375837935333348,0.18068152371080592,0.22311479657942468,0.09225187872505825,0.16534939967176296
MiniCPM-o-2.6|en,1.0,0.05119747,5.135945796966553,25.437722206115723,5.7257561683654785,2.8012370331292797,2.795522301550344,4.136040925979614,10.797504901885986,6.858720541000366,4.50885009765625,5.300349235534668,3.9282038558149286,0.19041850220264323,0.21238986784140967,0.3061674008810572,0.2363252569750367
Nari Dia-1.6B|en,1.0,0.1319139,7.02365255355835,25.72266960144043,6.400999546051025,2.7583245206073848,2.806256909191746,3.977551698684693,10.691625595092772,7.361608505249023,5.226164817810059,5.57043981552124,4.763595023061026,0.07549058870644765,0.10792951541850226,0.10782939527432922,0.09708316646642638
Nari Dia2|en,1.0,0.057766438,8.472871780395508,24.577186584472656,5.444232940673828,2.7976076928108533,2.846005608114252,3.8161213397979736,10.807401657104492,7.211949348449707,4.979375839233398,5.32477331161499,3.2572865567139053,0.2530036043251902,0.2742290748898679,0.2794353223868642,0.26888933386730746
NeuTTS-Air|en,1.0,0.057514265,8.10945177078247,26.131092071533203,5.912551164627075,2.765655478709447,2.8041179900523328,4.137840747833252,10.867116928100586,6.965129852294922,4.681230545043945,5.292420148849487,3.9166158471196755,0.15872797356828205,0.1978248898678414,0.18206222466960353,0.179538362701909
OpenVoiceV2|en,1.0,0.08285849,6.623371124267578,23.538034439086914,6.502013206481934,2.791077321115468,2.801703925636391,4.02797794342041,11.034777641296388,7.346476554870605,4.955470085144043,5.43412971496582,3.3179400935639456,0.11938325991189425,0.1542584434654919,0.16189427312775329,0.14517865883504646
Openaudio-S1-Mini|en,1.0,0.049908333,6.533298015594482,23.275671005249023,4.556309223175049,2.803405562165689,2.8117834448901164,4.146693229675293,10.719888687133787,7.440963268280029,4.930900573730469,5.370025157928467,3.163658718602323,0.2716740088105726,0.25066079295154187,0.2747577092511013,0.2656975036710719
OuteTTS|en,1.0,0.088048875,3.9834178686141968,25.236434936523438,4.156327247619629,2.79676371873489,2.829027363424279,4.087398529052734,10.67365026473999,6.876817464828491,4.743610620498657,5.2735066413879395,4.001196649186861,0.32078494193031637,0.30401481778133754,0.28158790548658386,0.3021292217327459
Qwen2.5-Omni|en,1.0,0.07874014,8.545698165893555,24.652485847473145,6.4053261280059814,2.820429027952482,2.712554411507801,4.102989673614502,10.878288269042969,7.005524396896362,4.9643874168396,5.48714280128479,1.6613572089182704,0.20256450597860298,0.17023285084959094,0.16197293895531784,0.1782567652611706
RVC|en,1.0,0.10197913,6.496351480484009,25.76065444946289,7.1889872550964355,2.7845746417952255,2.7792913518560214,3.9638936519622803,10.83198595046997,6.829092741012573,4.634853839874268,5.360138893127441,2.7668319248410755,0.10674952800503468,0.10061359345500309,0.2629011957205789,0.15675477239353888
"Resemble.ai (April 12th, 2025)|en",1.0,0.068717346,6.2018280029296875,31.786054611206055,7.067438840866089,2.8184244640138165,2.789062921165447,4.257091760635376,10.648710250854492,6.241590738296509,4.320194721221924,5.349858999252319,3.282454684315289,0.11845325501713166,0.16305677924620654,0.10101566324033284,0.12750856583455702
Ringg Squirrel TTS v1.0|en,1.0,0.11365966,7.210122585296631,25.62936019897461,8.187058448791504,2.738933511454073,2.743631402241422,4.095354080200195,10.98802137374878,7.941915035247803,5.137474775314331,5.499422788619995,2.4153761853874163,0.02808370044052866,0.03775085658345567,0.06063387175721979,0.04215614292706804
SoulX-Podcast|en,1.0,0.041254144,6.275095701217651,23.61434841156006,4.771084308624268,2.7962178174488863,2.7915144846504343,4.0942347049713135,10.740859031677246,7.049087285995483,4.922621726989746,5.381306409835815,3.850306776352627,0.2911160058737152,0.25211086637298097,0.21044419970631423,0.2512236906510035
Spark-TTS-0.5B|en,1.0,0.07911651,7.612765789031982,27.057275772094727,2.5922861099243164,2.831119110392764,2.84438078045849,4.192304611206055,10.76162052154541,6.755612373352051,4.663846731185913,5.254586696624756,2.5515336459187608,0.5810848017621145,0.5987059471365639,0.6217648678414097,0.6005185389133626
Step-Audio-EditX|en,1.0,0.08715297,6.092774868011475,23.720487594604492,5.975686073303223,2.789838566749976,2.7634049520150965,4.0209174156188965,10.793718338012695,6.84794807434082,4.865263938903809,5.427931785583496,2.0067054455168996,0.14957949539447335,0.1464757709251101,0.18372046455746904,0.15992524362568417
