system,C,T,smooth_eer,baseline_eer,smooth_auc,baseline_auc,smooth_bal_acc,baseline_bal_acc,smooth_acc,baseline_acc
WhisperSpeech,-11.26201,2.76802,0.38095238095221634,0.3809523809525412,0.6643591357247745,0.6815082861338368,0.6508023914411579,0.6428309209146214,0.7265877287405813,0.8019375672766416
ZipVoice,-10.86822,2.80332,0.5,0.3469162995605787,0.48660058737151246,0.6422540381791483,0.6106828193832599,0.6598751835535976,0.7184782608695652,0.6532608695652173
e2-tts,-10.92617,2.76124,0.44162995594795534,0.3711453744483705,0.5817042951541851,0.7031938325991189,0.6395925110132159,0.6925936123348018,0.895021645021645,0.5768398268398268
f5-tts,-10.75229,2.70689,0.4625550660781494,0.3898678414094841,0.5454781031355274,0.6410987302409951,0.5984387146929256,0.6362723503498315,0.3816216216216216,0.9091891891891892
facebook_mms-tts-eng,-11.25166,2.6995,0.16666666666666893,0.1024229074873087,0.9044909446891826,0.9626162506118452,0.8409202153695545,0.9210107684777288,0.7948164146868251,0.8984881209503239
griffin_lim,-10.82422,2.8566,0.4383259911889903,0.4,0.5977973568281938,0.6585168869309839,0.611417033773862,0.6355726872246696,0.5579631635969664,0.8634886240520043
kokoro,-11.13242,2.85862,0.19273127753267488,0.1321585903070981,0.8858103408300486,0.9556573150939022,0.8361349408764202,0.915748898678414,0.7799352750809061,0.8349514563106796
microsoft_speecht5_tts,-11.04778,2.79557,0.41666666666696023,0.2500000000002551,0.6526248164464024,0.7678964757709251,0.6650146842878121,0.7615638766519823,0.7445652173913043,0.7728260869565218
minimax_speech-02-turbo,-11.02915,2.74086,0.2301762114523185,0.1818181818181817,0.8614337204645575,0.932819383259912,0.794002803364037,0.8534741690028034,0.7704026115342764,0.8879216539717084
minimax_speech-2.6-hd,-11.40033,2.69219,0.19933920704997618,0.2500000000001466,0.9172173274596183,0.8198421439060205,0.8568281938325991,0.8190161527165932,0.717391304347826,0.967391304347826
optispeech,-11.08127,2.75023,0.18502202643082322,0.0737885462561879,0.9010383889238515,0.9431246066708622,0.8449496538703587,0.927391441157961,0.9023861171366594,0.9262472885032538
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.09090909090909065,0.0909090909090912,0.9806768121746096,0.947436924309171,0.9526431718061674,0.919303163796556,0.9064200217627857,0.9292709466811752
parler_tts_large_v1,-10.88228,2.72001,0.21428571428572482,0.1046255506613693,0.8930931403398363,0.953508495909377,0.8642227816236627,0.9449339207048458,0.940347071583514,0.8915401301518439
parler_tts_mini_v0.1,-10.93578,2.702,0.17647058823529688,0.1057268722460944,0.8955040165846074,0.9282845296708992,0.8390774812127494,0.9191500388701735,0.8540540540540541,0.9545945945945946
parler_tts_mini_v1,-11.02714,2.73203,0.22577092511132288,0.1420704845810204,0.8948237885462555,0.9449339207048458,0.88215859030837,0.928964757709251,0.7658643326039387,0.8588621444201313
sesame_csm,-10.80728,2.79118,0.39647577092520897,0.2830396475764219,0.716875635377838,0.800152490681125,0.6994239240935276,0.7699932226363944,0.4820846905537459,0.6959826275787188
suno_bark,-10.55239,2.80122,0.2147577092511217,0.2511013215846743,0.8899465072372561,0.8059314033983637,0.8656387665198237,0.7673064820641913,0.735357917570499,0.7494577006507592
suno_bark-small,-10.97017,2.74983,0.27863436123196994,0.2147577092521519,0.8064820641913153,0.8414096916299559,0.7535399622404028,0.8381843926998112,0.7223427331887202,0.7505422993492408
vixTTS,-11.27667,2.78681,0.3749999999999704,0.2257709251091819,0.7644548458149779,0.8531112334801761,0.7504129955947136,0.8235132158590308,0.9318181818181818,0.7738095238095238
