system,C,T,model_eer,baseline_eer,model_auc,baseline_auc,model_bal_acc,baseline_bal_acc,model_acc,baseline_acc
Microsoft VibeVoice Large,-11.20791,2.80826,0.17051049494674156,0.2352941176470588,0.882525697503671,0.8701736201088366,0.8457285998099681,0.8268657683337652,0.8104504504504505,0.7167567567567568
Kyutai-TTS,-11.10458,2.69058,0.15358605765522065,0.1541850220255072,0.9405093129299017,0.9363552051936008,0.8843708941958419,0.914647577092511,0.8576051779935274,0.8327939590075513
parler_tts_mini_v0.1,-10.93578,2.702,0.153170078604501,0.1057268722460944,0.9077913103567418,0.9282845296708992,0.8773322104172064,0.9191500388701735,0.9102702702702703,0.9545945945945946
facebook_mms-tts-eng,-11.25166,2.6995,0.09760972426146487,0.1024229074873087,0.95001223690651,0.9626162506118452,0.9246818404307392,0.9210107684777288,0.9056875449964003,0.8984881209503239
Ringg Squirrel TTS v1.0,-11.25993,2.75387,0.0996084189918965,0.0881057268712717,0.9487885462555065,0.9727116984826236,0.9195423396965247,0.9281693587860989,0.8956083513318935,0.9125269978401728
DeepGram,-11.17381,2.62221,0.13762440854894806,0.157488986784906,0.9546826562245064,0.9358786098874204,0.9157488986784141,0.9140969162995596,0.8331515812431842,0.8298800436205016
Cartesia.ai (Sonic-3),-11.13107,2.77879,0.15755573354695881,0.0909090909090908,0.9142637832065145,0.9535442531037244,0.8733146442397542,0.9204044853824588,0.8679724338048603,0.9314472252448314
optispeech,-11.08127,2.75023,0.13048038598723968,0.0737885462561879,0.9174271029997901,0.9431246066708622,0.8944042374659115,0.927391441157961,0.9074475777295734,0.9262472885032538
Veena,-11.30142,2.76771,0.0977422907485674,0.105726872245475,0.9639087738619677,0.9620732378854624,0.9268080029368576,0.9454845814977972,0.8762626262626263,0.8928571428571429
kokoro,-11.13242,2.85862,0.139713269959195,0.1321585903070981,0.9337854548264936,0.9556573150939022,0.8808833758404822,0.915748898678414,0.8507731032002877,0.8349514563106796
parler_tts_large_v1,-10.88228,2.72001,0.1301132787920443,0.1046255506613693,0.939663310258024,0.953508495909377,0.896580658695196,0.9449339207048458,0.8886478669558929,0.8915401301518439
orpheus-tts-0.1-finetune,-11.16202,2.73997,0.1382659191025631,0.0909090909090912,0.9287812041116007,0.947436924309171,0.9042517687892137,0.919303163796556,0.8995284729778746,0.9292709466811752
Kitten-TTS-Nano-0.1,-11.27775,2.68213,0.07142857142872928,0.0495594713653781,0.9804384308789595,0.9904027690371304,0.9532462764841619,0.9752202643171806,0.9540853217642806,0.9511930585683296
Supertonic,-11.13805,2.78536,0.09003303964770888,0.125,0.9671897944199705,0.969920154185022,0.9319016152716593,0.9204295154185024,0.9466089466089467,0.9642857142857144
Kitten-TTS-Nano-0.2,-11.13214,2.69919,0.07030102790043234,0.0625,0.9779965124816444,0.973430616740088,0.9543410425844345,0.9456222466960352,0.9303751803751803,0.9534632034632036
