system,C,T,raw_eer,raw_auc,raw_bal_acc,cal_wavlm_eer,cal_wavlm_auc,cal_wavlm_bal_acc,cal_ensemble_eer,cal_ensemble_auc,cal_ensemble_bal_acc
Step-Audio-EditX,-11.19811,2.72185,0.2015418502210192,0.841309571485783,0.808319983980777,0.45454545454545464,0.5941129355226271,0.6668001601922307,0.4545454545454546,0.5796956347617142,0.6651982378854626
Supertonic,-11.13805,2.78536,0.12500000000000003,0.969920154185022,0.9204295154185023,0.2709251101321746,0.7597053964757708,0.768034140969163,0.3039647577085953,0.7444245594713655,0.7582599118942731
Veena,-11.30142,2.76771,0.105726872245475,0.9620732378854625,0.9454845814977973,0.37114537444859885,0.6766244493392071,0.7703744493392071,0.3381057268735117,0.6927312775330396,0.7863436123348018
VoxCPM-0.5B,-10.66426,2.74095,0.4140969162984599,0.6096533231181767,0.6245929898486879,0.5652173913043478,0.41802336717104005,0.5666299559471366,0.5506607929497643,0.41012258188086576,0.5616740088105727
VoxCPM-1.5,-11.05028,2.80275,0.4779735682815185,0.5553807426054123,0.6141441157960982,0.6101321585891026,0.4091409691629956,0.5770925110132159,0.6233480176210502,0.40339836375078664,0.5809471365638766
Voxtream,-10.93791,2.77738,0.3270925110123337,0.7098017621145374,0.6975648556045031,0.5,0.4854992657856094,0.5873715124816447,0.5,0.4829295154185022,0.5851076847772883
WhisperSpeech,-11.26201,2.76802,0.3809523809525412,0.6815082861338368,0.6428309209146214,0.5341409691639205,0.4726767358925949,0.5872928466540801,0.5238095238095238,0.47708202223620727,0.5988567233060625
ZipVoice,-10.86822,2.80332,0.34691629956057873,0.6422540381791483,0.6598751835535976,0.5176211453752269,0.4797173274596182,0.6073788546255506,0.5396475770933218,0.46512481644640236,0.6068281938325991
e2-tts,-10.92617,2.76124,0.3711453744483705,0.7031938325991189,0.6925936123348018,0.5624999999997616,0.44479625550660795,0.6289922907488987,0.5624999999999964,0.4468612334801762,0.6234856828193833
f5-tts,-10.75229,2.70689,0.3898678414094841,0.6410987302409951,0.6362723503498315,0.5517621145380216,0.46696035242290745,0.586453744493392,0.566079295153566,0.45076444674786215,0.5842511013215859
