system,s_along,sd_along,s_orth,vel_entropy_L12,rog_L12,hard_mlaad_gat,hard_aasist_zeroshot,hard_aasist_ft
facebook_mms-tts-eng|en,5.328482151031494,0.6835580038498064,24.053205490112305,2.750520246444001,10.833735942840576,0.063203622124327,0.0759911894273128,0.0070362212432697
griffin_lim|en,0.5739961862564087,3.055433783148957,24.207353591918945,2.824010894625553,10.873767852783203,0.338913362701909,0.2034508076358296,0.3774596182085168
kokoro|en,6.102680206298828,2.3164044303526934,23.33556365966797,2.793713421917712,10.804412841796877,0.0685910812272973,0.2859378622768374,0.0831207975886854
microsoft_speecht5_tts|en,5.371455907821655,2.798257839993836,25.15576934814453,2.7611966040591787,10.833869934082031,0.3165993636808614,0.5023861967694567,0.0327643171806166
minimax_speech-02-turbo|en,9.257560729980469,1.6423186346949308,24.94652557373047,2.7737009596426137,10.806988716125488,0.0847683887331464,0.2483980776932319,0.1637965558670404
minimax_speech-2.6-hd|en,8.268271923065186,2.0222636031287142,25.468287467956543,2.8027745745653725,10.659433841705322,0.1018722466960351,0.3791299559471366,0.0535976505139501
optispeech|en,8.1193265914917,2.019046928382353,24.238969802856445,2.764938370105908,10.77571725845337,0.1093717222571847,0.4225928256765261,0.0
orpheus-tts-0.1-finetune|en,9.06643295288086,2.0276189453982294,24.1080379486084,2.8035344340055777,10.895944595336914,0.0295688159124282,0.3477172607128554,0.066379655586704
parler_tts_large_v1|en,5.790503263473511,2.2205293322552038,24.373665809631348,2.7710717232409907,10.894604682922363,0.060389133627019,0.2074417872876022,0.0276903713027061
parler_tts_mini_v0.1|en,6.101119518280029,2.645606243660498,24.4148063659668,2.790156951924675,10.960885047912598,0.0675909130171892,0.3552086032650946,0.0183985488468515
sesame_csm|en,4.645083904266357,2.5820075283939663,30.06770896911621,2.745165627671927,10.859954833984377,0.1879588839941262,0.4215520162656726,0.162572009488309
suno_bark-small|en,5.640089273452759,2.3119703568945864,30.30503749847412,2.8113290951094783,10.757673263549805,0.1670337738619677,0.3802706104468218,0.0844870988042794
