system,src_sym,tgt_sym,bon_mean,atk_mean,delta,abs_delta
A04,ɐ,aɪ,0.010033992772853217,0.011595000661361573,0.001561007888508355,0.001561007888508355
A06,tʲ,ɛ,0.020314436508712102,0.021874973843711183,0.0015605373349990813,0.0015605373349990813
A06,z,ɛɪ,0.01022463075648773,0.008664179889365516,-0.001560450867122214,0.001560450867122214
A06,k,aɪ,0.012283497701765574,0.010724296196389038,-0.0015592015053765354,0.0015592015053765354
A06,ɛ̃,eɪ,0.010152266628322566,0.00859389676137721,-0.0015583698669453562,0.0015583698669453562
A02,ɔː,eɪ,0.0015583155735823433,0.0,-0.0015583155735823433,0.0015583155735823433
A04,ɔː,eɪ,0.0015583155735823433,0.0,-0.0015583155735823433,0.0015583155735823433
A06,i,œ,0.029864257891744742,0.028307819205503487,-0.001556438686241255,0.001556438686241255
A05,w,eə,0.005653578777806111,0.007208822639988093,0.0015552438621819825,0.0015552438621819825
A01,ɛɪ,uː,0.007422769636987665,0.0058693600084034825,-0.0015534096285841825,0.0015534096285841825
A05,ɛ̃,x,0.010781267864554848,0.012332260673531223,0.0015509928089763748,0.0015509928089763748
A02,ɛ,ɐ,0.022549625904615882,0.024098481799838724,0.001548855895222842,0.001548855895222842
A06,ɛ̃,e,0.02242819669895608,0.020880679251025124,-0.001547517447930958,0.001547517447930958
A06,t,ɔ̃,0.006899766857439188,0.008447083304510066,0.0015473164470708777,0.0015473164470708777
A02,aɪ,eɪ,0.005778026587596696,0.004234171664653452,-0.0015438549229432434,0.0015438549229432434
A01,ʑ,|,0.013441292770616044,0.014980882347465762,0.0015395895768497182,0.0015395895768497182
A06,|,x,0.04402563410592376,0.0455565792502789,0.0015309451443551447,0.0015309451443551447
A04,ɑ,l,0.003195188728979743,0.004725863435002922,0.0015306747060231788,0.0015306747060231788
A04,|,œ,0.037022565296947696,0.03855247819453758,0.0015299128975898857,0.0015299128975898857
A02,θ,ŋ,0.007977949547325756,0.009507317011630125,0.0015293674643043695,0.0015293674643043695
A01,k,œ̃,0.012402310466730493,0.01087467510159031,-0.0015276353651401831,0.0015276353651401831
A04,ɐ,ɐ,0.002717748076271166,0.004243751129920181,0.001526003053649015,0.001526003053649015
A03,aɪ,tʃ,0.013483977049498743,0.015007060045850517,0.001523082996351774,0.001523082996351774
A05,eə,k,0.016931701586321714,0.018453289227571303,0.0015215876412495895,0.0015215876412495895
A06,tʃ,ʊ,0.021890851571579988,0.020369426502591468,-0.0015214250689885196,0.0015214250689885196
A04,t,|,0.009558252327418757,0.01107696449900739,0.0015187121715886324,0.0015187121715886324
A03,p,ɛ̃,0.011337628465557867,0.009821685302926219,-0.0015159431626316482,0.0015159431626316482
A01,ʊ,iː,0.0035664064927875064,0.00508221856390134,0.0015158120711138336,0.0015158120711138336
A02,x,x,0.002203629891215974,0.003715724927336745,0.0015120950361207706,0.0015120950361207706
A05,ŋ,œ̃,0.018256407032102344,0.01674528630231938,-0.0015111207297829644,0.0015111207297829644
A01,ɹ,ɔø,0.008428936054310152,0.009940042160607168,0.0015111061062970162,0.0015111061062970162
A03,œ̃,oː,0.004288541938833393,0.005799566482505061,0.0015110245436716681,0.0015110245436716681
A05,t,aʊ,0.013106746325630057,0.014617150807779903,0.001510404482149846,0.001510404482149846
A02,m,ŋ,0.018751693918581905,0.020262038626227958,0.0015103447076460531,0.0015103447076460531
A03,i,θ,0.0,0.0015102080679734546,0.0015102080679734546,0.0015102080679734546
A04,t,x,0.00022977945109067515,0.0017361972739165384,0.0015064178228258633,0.0015064178228258633
A04,m,j,0.004463249500129151,0.0059689435471248775,0.0015056940469957269,0.0015056940469957269
A01,k,ɔː,0.0037862383957154365,0.005291196959413365,0.0015049585636979289,0.0015049585636979289
A04,t,tʲ,0.0010176704518584036,0.002518771183359238,0.0015011007315008343,0.0015011007315008343
A01,ʊ,øː,0.011523336781380764,0.010024447173827984,-0.0014988896075527804,0.0014988896075527804
